gene_name	pathway_count	pathways_1	pathways_2	pathways_3	pathways_4	pathways_5	pathways_6	pathways_7	pathways_8	pathways_9	pathways_10	pathways_11	pathways_12	pathways_13	pathways_14	pathways_15	pathways_16	pathways_17	pathways_18	pathways_19	pathways_20	pathways_21	pathways_22
FUT6	3	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALM	3	gobp_small_molecule_metabolic_process	hp_abnormal_circulating_metabolite_concentration	hp_abnormal_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDNK	3	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LCP2	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR3C2	3	hp_metabolic_acidosis	hp_abnormal_circulating_metabolite_concentration	hallmark_bile_acid_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDSS2	3	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKHD1	3	hp_abnormal_circulating_metabolite_concentration	hp_abnormality_of_vitamin_metabolism	hp_abnormal_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAUR	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNPLA4	3	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	reactome_metabolism_of_lipids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKD1	3	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	reactome_metabolism_of_lipids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKN	3	gobp_small_molecule_metabolic_process	gobp_organic_hydroxy_compound_metabolic_process	gobp_phenol_containing_compound_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN22	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PYCARD	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC11A1	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A4	3	hp_abnormal_circulating_metabolite_concentration	gobp_generation_of_precursor_metabolites_and_energy	hp_abnormal_csf_metabolite_concentration	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOCS2	3	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	gobp_organophosphate_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPHK1	3	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPNS2	3	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	reactome_metabolism_of_lipids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGFB1	3	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM8	2	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS2	2	chen_metabolic_syndrom_network	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGAP2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGER	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGL	2	hp_abnormal_circulating_metabolite_concentration	gobp_generation_of_precursor_metabolites_and_energy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AK7	2	gobp_small_molecule_metabolic_process	gobp_organophosphate_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AOX1	2	gobp_lipid_metabolic_process	hallmark_xenobiotic_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP24	2	hp_abnormal_circulating_metabolite_concentration	hp_abnormal_urine_metabolite_level	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAX	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCL2A1	2	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA4	2	gobp_small_molecule_metabolic_process	hallmark_fatty_acid_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CARMIL1	2	gobp_small_molecule_metabolic_process	gobp_purine_containing_compound_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASR	2	hp_abnormal_circulating_metabolite_concentration	hp_abnormal_urine_metabolite_level	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAV1	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCL5	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNA2	2	chen_metabolic_syndrom_network	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCND2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCR7	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD244	2	chen_metabolic_syndrom_network	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD44	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD6	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK5RAP3	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDKN2C	2	chen_metabolic_syndrom_network	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPE	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERKL	2	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL1A1	2	chen_metabolic_syndrom_network	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL1A2	2	chen_metabolic_syndrom_network	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL5A1	2	chen_metabolic_syndrom_network	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZH2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCNT4	2	gobp_organic_hydroxy_compound_metabolic_process	gobp_phenol_containing_compound_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GFM1	2	hp_metabolic_acidosis	hp_abnormal_csf_metabolite_concentration	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GHR	2	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI16	2	chen_metabolic_syndrom_network	gobp_positive_regulation_of_protein_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IQGAP3	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITGA5	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LILRB2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LILRB4	2	chen_metabolic_syndrom_network	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP3K12	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP14	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYO5B	2	hp_metabolic_acidosis	hp_abnormal_circulating_metabolite_concentration	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOD2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSM	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEPD	2	gobp_amino_acid_metabolic_process	hp_abnormal_urine_metabolite_level	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3R6	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLG	2	hp_abnormal_circulating_metabolite_concentration	hallmark_xenobiotic_metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLK1	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RARRES2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF180	2	gobp_organic_hydroxy_compound_metabolic_process	gobp_phenol_containing_compound_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLAMF8	2	chen_metabolic_syndrom_network	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A12	2	gobp_small_molecule_metabolic_process	hp_abnormal_urine_metabolite_level	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC6A19	2	hp_abnormal_circulating_metabolite_concentration	hp_abnormal_urine_metabolite_level	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SORL1	2	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST6GALNAC3	2	gobp_lipid_metabolic_process	gobp_cellular_lipid_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLR6	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF10B	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNK2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53	2	gobp_generation_of_precursor_metabolites_and_energy	gobp_purine_containing_compound_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPX2	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIB3	2	gobp_positive_regulation_of_protein_metabolic_process	gobp_regulation_of_phosphorus_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIM	2	chen_metabolic_syndrom_network	gobp_collagen_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
